"0","0","860","17","1.51","fulfilled"
"1","0","317","13","1.27","fulfilled"
"2","0","529","36","11.18","fulfilled"
"3","0","188","28","16.54","fulfilled"
"4","1","824","9","8.43","fulfilled"
"5","2","287","36","25.69","fulfilled"
"6","2","872","12","24.37","fulfilled"
"7","2","838","18","5.06","in_progress"
"8","2","789","5","19.63","in_progress"
"9","2","103","46","10.13","in_progress"
"10","2","227","29","28.06","in_progress"
"11","2","19","47","0.51","fulfilled"
"12","2","257","5","11.63","fulfilled"
"13","2","186","0","8.61","fulfilled"
"14","2","634","8","19.4","in_progress"
"15","3","365","42","19.18","in_progress"
"16","4","120","36","16.96","fulfilled"
"17","5","824","2","18.75","fulfilled"
"18","5","132","41","16.0","fulfilled"
"19","5","648","19","5.8","fulfilled"
"20","5","538","3","19.2","fulfilled"
"21","5","565","27","4.66","in_progress"
"22","5","725","23","6.96","fulfilled"
"23","5","343","48","9.61","fulfilled"
"24","5","699","5","21.67","fulfilled"
"25","5","238","13","6.15","fulfilled"
"26","6","873","7","27.98","fulfilled"
"27","6","552","28","13.46","in_progress"
"28","6","839","1","21.58","fulfilled"
"29","7","203","45","11.93","fulfilled"
"30","7","877","30","28.96","fulfilled"
"31","7","259","20","7.21","fulfilled"
"32","8","399","0","21.37","fulfilled"
"33","8","776","31","1.86","fulfilled"
"34","9","41","42","2.93","fulfilled"
"35","10","633","23","9.78","fulfilled"
"36","10","938","48","9.41","fulfilled"
"37","10","505","40","0.03","fulfilled"
"38","10","516","21","6.88","fulfilled"
"39","10","344","42","7.46","fulfilled"
"40","10","955","35","21.78","fulfilled"
"41","10","690","21","0.69","fulfilled"
"42","10","585","48","29.97","fulfilled"
"43","10","990","39","8.41","fulfilled"
"44","10","473","24","21.24","fulfilled"
"45","11","983","23","18.78","fulfilled"
"46","11","437","0","16.2","fulfilled"
"47","11","773","24","3.65","in_progress"
"48","11","374","37","23.36","fulfilled"
"49","11","650","44","8.21","in_progress"
"50","11","716","32","6.98","fulfilled"
"51","12","167","50","26.58","fulfilled"
"52","12","246","29","26.92","fulfilled"
"53","12","241","25","13.0","fulfilled"
"54","12","707","27","2.51","fulfilled"
"55","12","302","5","23.57","in_progress"
"56","12","208","2","18.21","fulfilled"
"57","12","725","5","1.85","fulfilled"
"58","12","121","27","10.43","fulfilled"
"59","12","627","22","4.03","fulfilled"
"60","13","555","30","28.57","fulfilled"
"61","13","300","5","13.26","in_progress"
"62","13","573","19","22.65","fulfilled"
"63","13","957","10","28.24","in_progress"
"64","13","905","18","1.28","fulfilled"
"65","13","441","39","6.71","fulfilled"
"66","13","576","38","0.61","fulfilled"
"67","13","254","37","29.49","fulfilled"
"68","13","68","14","21.64","in_progress"
"69","14","71","43","28.01","fulfilled"
"70","15","183","44","16.09","fulfilled"
"71","15","504","44","15.84","fulfilled"
"72","16","128","19","13.0","fulfilled"
"73","16","424","37","19.35","fulfilled"
"74","16","132","42","21.31","fulfilled"
"75","16","85","41","3.44","fulfilled"
"76","16","905","36","15.13","fulfilled"
"77","16","839","24","10.68","fulfilled"
"78","16","995","9","3.35","fulfilled"
"79","16","639","26","4.01","fulfilled"
