"0","355","190","2001-05-11 05:12:41","5"
"1","792","160","1971-11-08 22:15:12","1"
"2","156","290","2005-11-09 14:27:36","4"
"3","662","773","1977-03-16 05:34:38","5"
"4","990","544","2011-02-16 03:57:18","0"
"5","930","126","2019-07-25 22:43:43","4"
"6","505","441","1993-01-26 15:41:57","0"
"7","71","261","2003-11-18 07:52:57","0"
"8","293","545","1984-11-13 08:43:52","2"
"9","988","784","2011-08-10 01:58:34","0"
"10","475","310","2015-09-24 19:36:07","0"
"11","61","430","1981-02-21 17:21:43","5"
"12","440","693","1972-04-04 01:45:08","3"
"13","801","479","2011-11-16 20:47:17","2"
"14","412","569","1972-07-05 02:48:35","3"
"15","171","486","2015-06-27 00:31:33","2"
"16","952","240","1991-10-22 04:55:50","5"
"17","382","398","1973-03-25 20:18:17","5"
"18","933","863","1974-06-20 03:09:49","0"
"19","391","655","2006-12-18 23:34:25","2"
"20","995","337","1988-03-15 09:13:38","0"
"21","16","158","1988-08-09 14:05:40","4"
"22","528","941","1995-04-23 02:51:43","2"
"23","944","480","1978-04-11 07:53:45","1"
"24","401","446","1975-12-11 14:44:20","0"
"25","424","280","2021-08-25 04:59:43","3"
"26","713","866","2009-11-10 11:12:58","1"
"27","51","430","1988-11-04 08:57:00","4"
"28","338","11","1996-05-26 06:00:42","0"
"29","689","602","1998-08-25 18:05:02","2"
"30","900","406","2018-05-06 22:53:00","3"
"31","77","406","1992-02-13 07:53:53","3"
"32","3","776","2011-05-09 21:29:15","3"
"33","225","816","2018-01-06 02:28:38","4"
"34","323","345","1980-03-16 14:14:06","4"
"35","606","158","1988-03-23 02:25:04","0"
"36","118","784","1995-08-26 09:40:06","0"
"37","792","170","1979-05-29 03:01:26","4"
"38","217","307","1978-05-07 10:47:51","3"
"39","921","308","1990-10-23 05:24:39","4"
"40","8","182","2000-05-29 07:49:05","2"
"41","675","665","1999-05-24 13:32:51","5"
"42","106","659","2016-01-10 15:49:17","4"
"43","790","20","2014-04-14 17:08:53","2"
"44","228","658","1977-03-10 06:24:25","3"
"45","588","245","1976-08-10 15:07:53","0"
"46","692","951","2018-03-07 17:49:21","2"
"47","414","396","1981-02-04 05:08:15","2"
"48","587","320","1998-03-24 06:21:53","0"
"49","881","746","2009-10-24 21:32:31","2"
"50","187","28","1994-09-08 13:15:30","2"
"51","388","962","1994-10-20 23:20:10","0"
"52","745","949","1984-10-22 19:38:31","1"
"53","260","727","2001-11-04 23:09:53","3"
"54","605","784","1986-11-05 01:49:21","1"
"55","833","930","1979-06-02 17:41:02","4"
"56","542","384","1993-05-22 14:27:37","4"
"57","491","412","1973-03-12 02:35:02","0"
"58","412","406","1991-02-04 08:33:50","5"
"59","680","168","1986-08-15 23:23:43","4"
"60","163","598","2011-01-12 14:35:07","3"
"61","880","648","1970-04-09 08:18:23","1"
"62","404","172","1987-02-09 10:55:58","3"
"63","150","587","1978-04-07 17:51:17","3"
"64","795","376","1976-04-06 07:56:54","2"
"65","162","377","1981-11-04 20:24:57","5"
"66","232","805","2020-01-24 13:36:24","4"
"67","516","410","1990-03-08 07:54:53","5"
"68","769","770","2014-07-14 10:48:59","4"
"69","102","927","1973-01-02 22:44:49","3"
"70","790","439","1998-01-07 04:33:20","2"
"71","375","781","1999-11-16 02:40:11","0"
"72","548","462","1978-04-18 00:00:43","4"
"73","177","352","2004-06-05 03:44:40","5"
"74","244","544","1999-02-26 03:22:59","2"
"75","58","974","1998-07-07 16:45:37","2"
"76","164","26","2001-08-09 07:04:17","4"
"77","386","808","2017-05-14 09:20:08","2"
"78","581","430","2006-09-08 23:03:29","1"
"79","72","254","2019-10-13 10:54:46","5"
"80","438","813","2011-02-20 00:05:50","5"
"81","795","621","2005-04-22 22:15:39","1"
"82","130","600","1979-08-01 22:29:37","0"
"83","795","268","1983-10-25 08:44:44","3"
"84","389","715","1996-03-11 15:40:06","2"
"85","376","371","1974-07-29 01:12:51","5"
"86","205","878","2004-09-21 03:15:04","1"
"87","269","822","1975-01-03 18:24:16","5"
"88","195","780","1987-01-27 15:23:01","2"
"89","549","573","1972-02-27 10:38:38","3"
"90","505","961","2009-02-13 21:41:46","3"
"91","691","920","2013-12-11 23:48:20","1"
"92","515","569","2019-01-31 16:13:09","1"
"93","301","611","1979-03-26 11:25:15","4"
"94","705","153","1979-04-12 04:32:03","4"
"95","945","398","2002-01-10 05:15:07","0"
"96","398","258","2014-02-15 22:52:42","1"
"97","549","131","2016-02-24 23:30:04","1"
"98","363","930","2020-07-28 23:17:08","5"
"99","534","456","2019-04-18 07:10:52","1"
"100","706","343","1981-06-18 17:01:07","2"
"101","82","990","2015-01-23 23:27:21","2"
"102","899","573","1994-05-06 04:09:48","0"
"103","813","655","1994-05-10 00:50:04","0"
"104","165","822","2000-02-24 03:45:49","5"
"105","800","254","1978-07-10 00:22:58","2"
"106","919","780","1980-10-08 11:47:45","1"
"107","321","479","1974-02-26 05:55:36","0"
"108","818","536","1975-01-26 02:06:44","4"
"109","256","611","1980-06-10 12:32:32","5"
"110","217","671","1995-09-04 15:59:47","5"
"111","415","546","2000-12-26 15:00:43","2"
"112","108","569","1986-03-02 20:06:52","1"
"113","714","545","1993-10-02 13:30:46","5"
"114","22","830","2016-05-02 21:45:00","2"
